Number,Question,A,B,C,D,Answer
1,Động vật nào sau đây có hệ tuần hoàn hở?, Chim bồ câu, Cá chép., Rắn hổ mang, Châu chấu,D
2,"Theo thuyết tiến hóa hiện đại, nhân tố tiến hóa nào sau đây có thể làm cho một alen dù có lợi cũng có thể bị loại bỏ hoàn toàn khỏi quần thể?", Giao phối không ngẫu nhiên., Các yếu tố ngẫu nhiên., Đột biến., Chọn lọc tự nhiên.,B
3,Côđon nào sau đây mang tín hiệu kết thúc quá trình dịch mã?, 5'AGX3'., 5'UGA3', 5'AXX3', 5'AGG3'.,B
4,"Ở thực vật, nguyên tố dinh dưỡng khoáng thiết yếu nào sau đây là nguyên tố đại lượng?", Sắt., Môlipđen., Cacbon., Bo,C
5,"Trong lịch sử phát triển của sinh giới qua các đại địa chất, ở đại nào sau đây phát sinh loài người?", Đại Tân sinh., Đại Trung sinh., Đại Cổ sinh, Đại Nguyên sinh.,A
6,"Từ phôi cừu có kiểu gen DdEe, bằng phương pháp cấy truyền phôi có thể tạo ra cừu con có kiểu gen", DDEE.,B DDee.,C DdEe.,D ddee.,C
7,"Chó rừng đi kiếm ăn theo đàn, nhờ đó bắt được trâu rừng có kích thước lớn hơn. Đây là ví dụ về mối quan hệ", cạnh tranh khác loài., hỗ trợ khác loài., hỗ trợ cùng loài., cạnh tranh cùng loài.,C
8,"Cho biết alen A trội hoàn toàn so với alen  Theo lí thuyết, phép lai nào sau đây cho đời con gồm toàn cá thể có kiểu hình lặn?", aa × a, Aa × A, AA × aa, Aa × a,A
9,Trùng roi (Trichomomas ) sống trong ruột mối tiết enzim phân giải xenlulôzơ trong thức ăn của Trichomonas mối thành đường để nuôi sống cả hai. Đây là ví dụ về mối quan hệ, hợp tá, cộng sinh., hội sinh., kí sinh,B
10,Động vật nào sau đây có quá trình trao đổi khí giữa cơ thể với môi trường được thực hiện qua da?, Giun đất., Chim bồ câu., Châu chấu., Cá chép.,A
11,"Ở thực vật sống trên cạn, loại tế bào nào sau đây điều tiết quá trình thoát hơi nước ở lá?", Tế bào mạch rây., Tế bào mô giậu., Tế bào khí khổng., Tế bào mạch gỗ.,C
12,"Một quần thể đang ở trạng thái cân bằng di truyền có tần số alen A là 0,4. Theo lí thuyết, tần số kiểu gen AA của quần thể này là"," 0,16."," 0,40."," 0,48."," 0,60",A
