Answer,Question,A,B,C,D,Answer
1,"Căn cứ vào Atlat Địa lí Việt Nam trang 8, cho biết than đá có ở nơi nào sau đây?",A. Cổ Định.,B. Cẩm Phả.,C. Tiền Hải.,D. Quỳ Châu.,B
2,Địa hình nào sau đây tập trung chủ yếu ở miền Đông Trung Quốc?,A. Đồng bằng.,B. Núi cao.,C. Sơn nguyên.,D. Hoang mạc.,A
3,"Căn cứ vào Atlat Địa lí Việt Nam trang 25, cho biết nơi nào sau đây có khu dự trữ sinh quyển thế giới?",A. Cù Lao Chàm,B. Tam Đảo,C. Ba Vì.,D. Bái Tử Long.,A
4,Phát biểu nào sau đây không đúng với Đông Nam Á lục địa?,"A. Nhiều quần đảo, đảo và núi lửa.",B. Địa hình bị chia cắt mạnh,C. Có các đồng bằng phù sa.,D. Có một số sông lớn nhiều nước.,A
5,"Căn cứ vào Atlat Địa lí Việt Nam trang 27, cho biết đường số 9 chạy qua tỉnh nào sau đây?",A. Nghệ An,B. Quảng Bình.,C. Thanh Hóa.,D. Quảng Trị.,D
6,"Căn cứ vào Atlat Địa lí Việt Nam trang 28, cho biết sân bay Cam Ranh thuộc tỉnh nào sau đây?",A. Bình Định.,B. Ninh Thuận.,C. Khánh Hòa.,D. Quảng Nam.,C
7,"Căn cứ vào Atlat Địa lí Việt Nam trang 13, cho biết đỉnh núi nào sau đây cao hơn cả?",A. Tây Côn Lĩnh.,B. Phia Ya,C. Kiều Liêu Ti.,D. Phia Uắc.,A
8,Nước ta nằm hoàn toàn trong vùng nội chí tuyến bán cầu Bắc nên có,A. địa hình đa dạng.,B. khoáng sản phong phú.,C. tổng bức xạ lớn.,D. sông ngòi dày đặc.,C
9,Phát biểu nào sau đây không đúng về đặc điểm dân số nước ta hiện nay?,A. Có nhiều dân tộc ít người.,B. Gia tăng tự nhiên rất cao.,C. Dân tộc Kinh là đông nhất.,D. Có quy mô dân số lớn.,B
10,"Căn cứ vào Atlat Địa lí Việt Nam trang 17, cho biết Khu kinh tế ven biển Nhơn Hội thuộc tỉnh nào sau đây?",A. Bình Định.,B. Phú Yên.,C. Khánh Hòa.,D. Quảng Nam.,A
11,"Căn cứ vào Atlat Địa lí Việt Nam trang 4 - 5, cho biết tỉnh nào sau đây giáp Lào?",A. Gia Lai.,B. Kon Tum,C. Đắk Lắk.,D. Đắk Nông.,B
12,"Căn cứ vào Atlat Địa lí Việt Nam trang 30, cho biết nhà máy thủy điện A Vương thuộc tỉnh nào sau đây?",A. Quảng Ngãi.,B. Bình Định.,C. Quảng Nam,D. Thừa Thiên Huế.,C
13,Phát biểu nào sau đây đúng với các quốc gia trong ASEAN hiện nay?,A. Tăng cường sự hợp tác giữa các quốc gia.,B. Có trình độ phát triển giống nhau.,"C. Phong tục, tập quán có sự tương đồng.",D. Chú trọng việc bảo vệ môi trường.,B
14,"Căn cứ vào Atlat Địa lí Việt Nam trang 20, cho biết phát biểu nào sau đây đúng khi so sánh sản lượng thủy sản của một số tỉnh?",A. Khai thác của Quảng Ninh nhỏ hơn Quảng Trị.,B Nuôi trồng của Nam Định nhỏ hơn Quảng Bình.,C. Khai thác của Thanh Hóa lớn hơn Ninh Bình.,D. Nuôi trồng của Nghệ An nhỏ hơn Hà Tĩnh.,C
15,Loại gió nào sau đây hoạt động quanh năm ở nước ta?,A. Gió phơn Tây Nam,B. Tín phong bán cầu Bắc,C. Gió mùa Đông Bắc.,D. Gió mùa Tây Nam.,B
