Number,Question,A,B,C,D,Answer
1,"Trong cu?c khai thác thu?c ð?a l?n th? nh?t (1897 - 1914), tý b?n Pháp ? Vi?t Nam t?p trung Trong cu?c khai thác thu?c ð?a l?n th? nh?t (1897 - 1914), tý b?n Pháp ? Vi?t Nam t?p trung vào l?nh v?c nào?",Công nghi?p hóa ch?t,Ch? t?o máy,Luy?n kim.,Khai thác m?.,D
2,I. Gagarin (Liên Xô) là ngý?i ð?u tiên trên th? gi?i th?c hi?n thành công,hành tr?nh khám phá sao H?a.,k? ho?ch thám hi?m sao M?c.,hành tr?nh chinh ph?c M?t Trãng.,chuy?n bay v?ng quanh Trái Ð?t.,D
3, M?t trong nh?ng m?t tiêu c?c c?a toàn c?u hóa là,t?o ra nguy cõ ðánh m?t b?n s?c dân t?c., k?m h?m s? phát tri?n c?a l?c lý?ng s?n xu?t.,h?n ch? s? chuy?n bi?n v? cõ c?u kinh t?.,h?n ch? s? tãng trý?ng kinh t?.,A
4,"Ð?u nh?ng nãm 70 c?a th? k? XX, Tây Âu tr? thành",trung tâm kinh t? - tài chính duy nh?t c?a th? gi?i.,trung tâm kinh t? - tài chính l?n nh?t th? gi?i.,liên minh kinh t? - tài chính - quân s? l?n nh?t th? gi?i,m?t trong ba trung tâm kinh t? - tài chính l?n c?a th? gi?i.,D
5,: H?i ngh? h?p nh?t các t? ch?c c?ng s?n c?a Vi?t Nam ð?u nãm 1930 quy?t ð?nh thành l?p m?t ð?ng duy nh?t l?y tên là,Ð?ng C?ng s?n Vi?t Nam,Ð?ng Lao ð?ng Vi?t Nam,Ð?ng Dân ch? Vi?t Nam.,Ð?ng C?ng s?n Ðông Dýõng.,A
6,K? thù chính c?a nhân dân Vi?t Nam sau khi Nh?t ð?o chính Pháp (9 - 3 - 1945) là,phát xít Nh?t.,ð? qu?c Pháp.,ð? qu?c Pháp và tay sai.,ð? qu?c Pháp - Nh?t.,A
7,M?t trong nh?ng m?c tiêu c?a ðý?ng l?i ð?i m?i ? Vi?t Nam ðý?c ð? ra t? tháng 12 - 1986 là,bý?c ð?u kh?c ph?c h?u qu? chi?n tranh.,hoàn thi?n cõ ch? qu?n l? ð?t ný?c.,ðýa ð?t ný?c ra kh?i t?nh tr?ng kh?ng ho?ng.,hoàn thành công cu?c c?i cách ru?ng ð?t.,C
8,"Theo th?a thu?n t?i H?i ngh? P?txðam (1945), quân ð?i Trung Hoa Dân qu?c vào Vi?t Nam gi?i giáp quân ð?i Nh?t t?",v? tuy?n 17 tr? vào Nam,v? tuy?n 16 tr? ra B?c,v? tuy?n 16 tr? vào Nam,v? tuy?n 17 tr? ra B?c.,B
9,"Sau chi?n th?ng Ðý?ng s? 14 - Phý?c Long c?a quân dân mi?n Nam Vi?t Nam (tháng 1 - 1975), chính quy?n Sài G?n ð?",ðýa quân ð?n h?ng chi?m l?i nhýng th?t b?i,"ph?n ?ng y?u ?t, ch? y?u dùng áp l?c ðe d?a t? xa",nhanh chóng rút quân ð? b?o toàn l?c lý?ng.,ph?i h?p v?i quân ð?i M? ph?n công tái chi?m,A
10, Ð?i h?i ð?i bi?u l?n th? II c?a Ð?ng (tháng 2 - 1951) quy?t ð?nh ðýa Ð?ng ra ho?t ð?ng công khai ? Vi?t Nam v?i tên g?i,Ð?ng Dân ch? Vi?t Nam.,Ð?ng Lao ð?ng Vi?t Nam, Ð?ng Dân ch? Ðông Dýõng.,Ð?ng C?ng s?n Vi?t Nam.,B
11,": Vào gi?a th? k? XIX, trý?c nguy cõ xâm lý?c c?a các ný?c tý b?n phýõng Tây, tri?u ð?nh nhà Nguy?n th?c hi?n chính sách nào?",". C?i cách, m? c?a.",T? do tôn giáo.,B? quan t?a c?ng,C?i cách vãn hóa.,C
12, Cu?c Cách m?ng tháng Mý?i Nga nãm 1917 ð?,d?n ð?n t?nh tr?ng hai chính quy?n song song t?n t?i.,giúp Nga hoàn thành m?c tiêu xây d?ng ch? ngh?a x? h?i.,ðýa nhân dân Nga lên làm ch? v?n m?nh c?a m?nh.,giúp Nga ð?y lùi ðý?c nguy cõ ngo?i xâm và n?i ph?n.,C
13,"Nãm 1941, Nguy?n Ái Qu?c ch?n Cao B?ng ð? xây d?ng cãn c? ð?a cách m?ng, v? ðây là nõi có",l?c lý?ng v? trang phát tri?n l?n m?nh.,ð?a h?nh thu?n l?i ð? phát tri?n l?c lý?ng.,nhi?u cãn c? du kích ð? ðý?c xây d?ng.,các t? ch?c c?u qu?c ð? ðý?c thành l?p.,B
14,M?t trong nh?ng nguyên nhân d?n ð?n vi?c Liên Xô và M? cùng tuyên b? ch?m d?t Chi?n tranh l?nh (tháng 12 - 1989) là,n?n kinh t? hai ný?c ð?u lâm vào kh?ng ho?ng nghiêm tr?ng.,s? suy gi?m th? m?nh c?a c? hai ný?c trên nhi?u m?t.,"ph?m vi ?nh hý?ng c?a M? b? m?t, c?a Liên Xô b? thu h?p.",tr?t t? hai c?c Ianta b? xói m?n và s?p ð? hoàn toàn,B
