Number,Question,A,B,C,D,Answer
1,"Trong cuộc khai thác thuộc địa lần thứ nhất (1897 - 1914), tư bản Pháp ở Việt Nam tập trung Trong cuộc khai thác thuộc địa lần thứ nhất (1897 - 1914), tư bản Pháp ở Việt Nam tập trung vào lĩnh vực nào?",Công nghiệp hóa chất,Chế tạo máy,Luyện kim.,Khai thác mỏ.,D
2,I. Gagarin (Liên Xô) là người đầu tiên trên thế giới thực hiện thành công,hành trình khám phá sao Hỏa.,kế hoạch thám hiểm sao Mộc.,hành trình chinh phục Mặt Trăng.,chuyến bay vòng quanh Trái Đất.,D
3, Một trong những mặt tiêu cực của toàn cầu hóa là,tạo ra nguy cơ đánh mất bản sắc dân tộc., kìm hãm sự phát triển của lực lượng sản xuất.,hạn chế sự chuyển biến về cơ cấu kinh tế.,hạn chế sự tăng trưởng kinh tế.,A
4,"Đầu những năm 70 của thế kỷ XX, Tây Âu trở thành",trung tâm kinh tế - tài chính duy nhất của thế giới.,trung tâm kinh tế - tài chính lớn nhất thế giới.,liên minh kinh tế - tài chính - quân sự lớn nhất thế giới,một trong ba trung tâm kinh tế - tài chính lớn của thế giới.,D
5,: Hội nghị hợp nhất các tổ chức cộng sản của Việt Nam đầu năm 1930 quyết định thành lập một đảng duy nhất lấy tên là,Đảng Cộng sản Việt Nam,Đảng Lao động Việt Nam,Đảng Dân chủ Việt Nam.,Đảng Cộng sản Đông Dương.,A
6,Kẻ thù chính của nhân dân Việt Nam sau khi Nhật đảo chính Pháp (9 - 3 - 1945) là,phát xít Nhật.,đế quốc Pháp.,đế quốc Pháp và tay sai.,đế quốc Pháp - Nhật.,A
7,Một trong những mục tiêu của đường lối đổi mới ở Việt Nam được đề ra từ tháng 12 - 1986 là,bước đầu khắc phục hậu quả chiến tranh.,hoàn thiện cơ chế quản lý đất nước.,đưa đất nước ra khỏi tình trạng khủng hoảng.,hoàn thành công cuộc cải cách ruộng đất.,C
8,"Theo thỏa thuận tại Hội nghị Pốtxđam (1945), quân đội Trung Hoa Dân quốc vào Việt Nam giải giáp quân đội Nhật từ",vĩ tuyến 17 trở vào Nam,vĩ tuyến 16 trở ra Bắc,vĩ tuyến 16 trở vào Nam,vĩ tuyến 17 trở ra Bắc.,B
9,"Sau chiến thắng Đường số 14 - Phước Long của quân dân miền Nam Việt Nam (tháng 1 - 1975), chính quyền Sài Gòn đã",đưa quân đến hòng chiếm lại nhưng thất bại,"phản ứng yếu ớt, chủ yếu dùng áp lực đe dọa từ xa",nhanh chóng rút quân để bảo toàn lực lượng.,phối hợp với quân đội Mỹ phản công tái chiếm,A
10, Đại hội đại biểu lần thứ II của Đảng (tháng 2 - 1951) quyết định đưa Đảng ra hoạt động công khai ở Việt Nam với tên gọi,Đảng Dân chủ Việt Nam.,Đảng Lao động Việt Nam, Đảng Dân chủ Đông Dương.,Đảng Cộng sản Việt Nam.,B
11,": Vào giữa thế kỷ XIX, trước nguy cơ xâm lược của các nước tư bản phương Tây, triều đình nhà Nguyễn thực hiện chính sách nào?",". Cải cách, mở cửa.",Tự do tôn giáo.,Bế quan tỏa cảng,Cải cách văn hóa.,C
12, Cuộc Cách mạng tháng Mười Nga năm 1917 đã,dẫn đến tình trạng hai chính quyền song song tồn tại.,giúp Nga hoàn thành mục tiêu xây dựng chủ nghĩa xã hội.,đưa nhân dân Nga lên làm chủ vận mệnh của mình.,giúp Nga đẩy lùi được nguy cơ ngoại xâm và nội phản.,C
13,"Năm 1941, Nguyễn Ái Quốc chọn Cao Bằng để xây dựng căn cứ địa cách mạng, vì đây là nơi có",lực lượng vũ trang phát triển lớn mạnh.,địa hình thuận lợi để phát triển lực lượng.,nhiều căn cứ du kích đã được xây dựng.,các tổ chức cứu quốc đã được thành lập.,B
14,Một trong những nguyên nhân dẫn đến việc Liên Xô và Mỹ cùng tuyên bố chấm dứt Chiến tranh lạnh (tháng 12 - 1989) là,nền kinh tế hai nước đều lâm vào khủng hoảng nghiêm trọng.,sự suy giảm thế mạnh của cả hai nước trên nhiều mặt.,"phạm vi ảnh hưởng của Mỹ bị mất, của Liên Xô bị thu hẹp.",trật tự hai cực Ianta bị xói mòn và sụp đổ hoàn toàn,B
